Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
100120090111694415 Калининградская Область 8 77070 21
100120090111350056 Коми Республика 8 77 700 21
100120090512160697 Ленинградская Область 8 77 07 21
100120090512212307 Ленинградская Область 8 7733 1 21
100120090512015062 Липецкая Область 8 77 7 21
100120090111173546 Нижегородская Область 8 777 21
100120090512154804 Нижегородская Область 8 770007 21
100120090111707870 Нижегородская Область 8 7707 0 21
100120090111292407 Нижегородская Область 8 770700 21
100120090510069960 Псковская Область 8 7707 21
100120090111387040 Самарская Область 8 7707 0 21
100120090510135347 Смоленская Область 8 770060 20
100120090511930091 Калининградская Область 8 70750 19
100120080510146021 Коми Республика 8 773101 19
100120090111419757 Нижегородская Область 8 770140 19
100120090111028974 Нижегородская Область 8 775 0 19
100120090111159898 Тверская Область 8 77302 19
100120090510035741 Калининградская Область 8 771300 18
100120090510134740 Карелия Республика 8 773010 18
100120090510201804 Ленинградская Область 8 7704 0 18
100120090111391860 Орловская Область 8 773001 18
100120100111483819 Псковская Область 8 7730 1 18
100120090510099402 Калининградская Область 8 773 00 17
100120090111358601 Калининградская Область 8 773 0 17
100120090111185857 Коми Республика 8 773000 17
100120090510133541 Ленинградская Область 8 073700 17
100120090510110423 Нижегородская Область 8 73070 17
100120090111455594 Нижегородская Область 8 773 0 17
100119730111176096 Нижегородская Область 8 773000 17
100120090111177205 Нижегородская Область 8 773 00 17
100120090111259741 Нижегородская Область 8 773000 17
100120030110031115 Оренбургская Область 8 7730 0 17
100120090111506821 Оренбургская Область 8 7730 0 17
100120090510089076 Орловская Область 8 7730 0 17Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
100120090510045563 Орловская Область 8 773 00 17
100120080111477557 Самарская Область 8 770300 17
100120090111824158 Самарская Область 8 77030 17
100120090510083290 Тверская Область 8 770 3 17
100120090111345603 Коми Республика 8 771 1 16
100120090111161767 Липецкая Область 8 770010 15
100120090111497109 Липецкая Область 8 771000 15
100119750111161683 Оренбургская Область 8 753000 15
100120090510069788 Брянская Область 8 77000 14
100120080510160070 Карелия Республика 8 770000 14
100120090111935224 Нижегородская Область 8 770 00 14
100120090111306588 Нижегородская Область 8 473 00 14
100120090111235081 Нижегородская Область 8 070700 14
100120090111345605 Оренбургская Область 8 770 00 14
100120090111842577 Псковская Область 8 770000 14
100120080111984397 Самарская Область 8 770 0 14
100120090111130498 Самарская Область 8 7700 0 14
100120090510197120 Самарская Область 8 17312 14
100120090111973417 Самарская Область 8 770 00 14
100120090511823864 Тверская Область 8 7700 0 14
100120090111363335 Коми Республика 8 373 13
100120090111264077 Нижегородская Область 8 070060 13
100120090510167680 Псковская Область 8 73 1 11
100120090510059222 Тверская Область 8 74000 11
100120090510139060 Калининградская Область 8 370000 10
100120090510135190 Калининградская Область 8 073 00 10
100120090111250376 Нижегородская Область 8 370000 10
100120090510092571 Самарская Область 8 07 21 10
100120090512230365 Смоленская Область 8 073000 10
100120090510098887 Тверская Область 8 0730 0 10
100119770111217352 Ленинградская Область 8 27000 9
100120090111213723 Нижегородская Область 8 711 00 9
100120090510133709 Калининградская Область 8 7 010 8
100120090510034443 Коми Республика 8 710 0 8
100120090510060702 Ленинградская Область 8 07 10 8
100120090111161302 Липецкая Область 8 070010 8
100120090111221343 Самарская Область 8 710000 8
100120090510197783 Архангельская Область 8 070000 7
100120090510119880 Белгородская Область 8 070000 7
100120090510091058 Белгородская Область 8 070 00 7
100120090510121726 Белгородская Область 8 70000 7
100120090510208861 Белгородская Область 8 070000 7Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
100120080111536196 Белгородская Область 8 07 0 0 7
100120090511680029 Брянская Область 8 070 0 7
100120090511817803 Брянская Область 8 07 00 7
100120090510168383 Брянская Область 8 070000 7
100120100510167267 Брянская Область 8 070000 7
100120080510077863 Калининградская Область 8 070000 7
100119860112087633 Калининградская Область 8 070000 7
100120090512268096 Калининградская Область 8 07 00 7
100120090510079157 Калининградская Область 8 7 7
100120090510071847 Калининградская Область 8 0700 0 7
100120100510141512 Калининградская Область 8 700 0 7
100120090510068998 Калининградская Область 8 7 0 7
100120090510210015 Карелия Республика 8 07 0 7
100120090510076809 Ленинградская Область 8 070000 7
100120090512198248 Ленинградская Область 8 70 00 7
100120090512142727 Ленинградская Область 8 7 7
100119840111131832 Ленинградская Область 8 70000 7
100120090510151870 Ленинградская Область 8 7 0 7
100120090510114049 Ленинградская Область 8 07 0 7
100120090510134383 Липецкая Область 8 070000 7
100120090510035983 Липецкая Область 8 070 7
100120100111244221 Нижегородская Область 8 07 000 7
100120100111476526 Нижегородская Область 8 070000 7
100120090111199840 Нижегородская Область 8 070 00 7
100120090511883295 Нижегородская Область 8 070000 7
100120090111472669 Нижегородская Область 8 070000 7
100120090111951706 Нижегородская Область 8 070 00 7
100120090111272159 Нижегородская Область 8 700 7
100120090111350700 Нижегородская Область 8 7 000 7
100120090510111771 Оренбургская Область 8 070000 7
100120090510056222 Орловская Область 8 07 0 7
100119840111491521 Орловская Область 8 70 0 7
100120090111190459 Самарская Область 8 070 00 7
100120090112095249 Самарская Область 8 070000 7
100120090510033706 Самарская Область 8 07 000 7
100120090111232708 Самарская Область 8 070 00 7
100120090510010214 Самарская Область 8 070000 7
100120090510051221 Смоленская Область 8 07 0 7
100120080510228170 Нижегородская Область 8 013 0 4
100120090510101460 Белгородская Область 8 03 3
100120090510196341 Калининградская Область 8 03 000 3
100120080510222330 Калининградская Область 8 03 00 3Результаты заключительного отборочного тура
на Январскую математическую образовательную программу 2024 года (после апелляции)
ID гостя Регион Класс 123456 S
100120080510145864 Самарская Область 8 030000 3
100120090112069880 Тверская Область 8 010 2 3
100120090510197420 Липецкая Область 8 01 00 1
100120090510064645 Нижегородская Область 8 1 00 1
100120090510205197 Новгородская Область 8 01000 1
100120090510136428 Орловская Область 8 0100 0 1
100120080510073422 Архангельская Область 8 0
100120090512309440 Белгородская Область 8 0
100120090510206948 Брянская Область 8 0
100120090112097523 Брянская Область 8 0
100120090510067100 Брянская Область 8 0
100120090111524715 Калининградская Область 8 0
100120090510030334 Калининградская Область 8 0 00 0
100120090510043864 Калининградская Область 8 0
100120090510057162 Карелия Республика 8 0
100119840111105462 Коми Республика 8 0
100120090510017042 Коми Республика 8 0
100119770512248061 Ленинградская Область 8 0
100120090510061463 Ленинградская Область 8 0
100120090510198128 Ленинградская Область 8 0
100120090510116702 Ленинградская Область 8 0
100120090111411485 Ленинградская Область 8 0
100120080512090453 Ленинградская Область 8 0
100120090512015066 Липецкая Область 8 0
